179	1163	967731336	1017209004	20140297	['host1', 'host8', 'host7']	['host11', 'host15', 'host4']	['host6']	['host1']
180	1165	724	35	24	['host1']	['host0']	['host6']	['host11']
181	1177	728	31	24	['host1']	['host0']	['host6']	['host11']
182	1182	4233153	37	244	['host1']	['host0']	['host6']	['host11']
183	1185	593406721	1051727755	46405073	['host1', 'host8']	['host6', 'host12', 'host15']	['host3']	['host6']
184	1190	11494867	11275182	84699	['host1']	['host0']	['host6']	['host11']
185	1196	404	22	191	['host1']	['host0']	['host6']	['host11']
186	1198	24495517441	424400312	230591	['host1', 'host8', 'host7']	['host11']	['host15']	['host3']
187	1200	234490621572	22743500489	18306313	['host1', 'host8', 'host7']	['host11', 'host15', 'host4', 'host7', 'host0', 'host8', 'host6', 'host13', 'host1', 'host10', 'host5', 'host2', 'host3', 'host9', 'host14', 'host12']	['host11']	['host1']
188	1202	8245274	661164	1416	['host1']	['host0']	['host6']	['host11']
189	1204	302	18	136	['host1']	['host0']	['host6']	['host11']
190	1204	19235154	12339981	136516	['host1']	['host0']	['host6']	['host11']
191	1234	4243	35	24	['host1']	['host0']	['host6']	['host11']
192	1241	35956	22	127	['host1']	['host0']	['host6']	['host11']
193	1241	404	22	191	['host1']	['host0']	['host6']	['host11']
194	1246	414096884	404282459	607890162	['host1']	['host0']	['host6', 'host12']	['host15']
195	1248	302	22	136	['host1']	['host0']	['host6']	['host11']
196	1265	1370	1030	760	['host1']	['host0']	['host6']	['host11']
197	1277	239402246736	25681134220	19480841	['host1', 'host8', 'host7']	['host11', 'host15', 'host4', 'host7', 'host0', 'host8', 'host6', 'host13', 'host1', 'host10', 'host5', 'host2', 'host3', 'host9', 'host14', 'host12']	['host11']	['host1']
198	1286	404	22	191	['host1']	['host0']	['host6']	['host11']
199	1289	11201966	10721205	84529	['host1']	['host0']	['host6']	['host11']
200	1290	302	22	136	['host1']	['host0']	['host6']	['host11']
201	1304	18476912	11855630	138941	['host1']	['host0']	['host6']	['host11']
202	1322	1898990	2478380	1060304	['host1']	['host0']	['host6']	['host11']
203	1327	404	22	191	['host1']	['host0']	['host6']	['host11']
204	1330	302	22	136	['host1']	['host0']	['host6']	['host11']
205	1340	225472	255079	171767	['host1']	['host0']	['host6']	['host11']
206	1345	113051525128	62842515559	50893523	['host1', 'host8', 'host7']	['host11', 'host15', 'host4', 'host7', 'host0', 'host8', 'host6', 'host13', 'host1', 'host10', 'host5', 'host2', 'host3', 'host9', 'host14', 'host12']	['host11']	['host1']
207	1346	215968361970	20554301021	17660976	['host1', 'host8', 'host7']	['host11', 'host15', 'host4', 'host7', 'host0', 'host8', 'host6', 'host13', 'host1', 'host10', 'host5', 'host2', 'host3', 'host9', 'host14', 'host12']	['host11']	['host1']
